mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2,2,ENG01
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1998.0,1.0,0.0,11.0,ATTN2016,KSTN,1,THPT,Khu vực 2,1,ENG02
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,Chuyên,Khu vực 2,3,ENG01
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,1998.0,1.0,0.0,11.0,HTCL2016.1,CLC,0,Chuyên,Khu vực 2,3,ENG01
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1998.0,1.0,0.0,11.0,HTTT2016,CQUI,0,THPT,Khu vực 1,3,ENGBT
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2,1,ENGBT
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1,2,ENGBT
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT,2,ENG01
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT,3,ENG01
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,1998.0,1.0,0.0,11.0,HTTT2016,CQUI,0,THPT,Khu vực 1,3,ENG01
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3,3,ENG01
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1999.0,1.0,1.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2,4,ENG01
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,2,ENG01
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1998.0,1.0,0.0,11.0,KTPM2016,CQUI,1,THPT,Khu vực 2,1,ENG01
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1997.0,0.0,-1.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,1996.0,1.0,-2.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1,1,ENGBT
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2,3,ENGBT
