mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
336B9F53XPvAibaEXe/jd8ghaf1GTNPSHNuhAHTZ,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,GDTX,Khu vực 2 NT,3,ENGBT
F473C1ABXPvAibaEXe/jd8ghaf1GTNdb+cfjD9JK,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
32425155XPvAibaEXe/jd8ghaf1GTDJ2RkglGilP,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,2,ENG01
98885261XPvAibaEXe+fEAEfw3o+KtD8p1BCYU+u,1998.0,1.0,0.0,11.0,KHTN2016,CNTN,0,THPT,Khu vực 1,2,ENG01
0DB26593XPvAibaEXe+fEAEfw3o+Koj1aryhxwXB,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,4,ENG01
F0261509XPvAibaEXe+eIy6TmCsZu0RLWC8H9A9f,1998.0,0.0,0.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 3,3,ENG01
8EDF0CBCXPvAibaEXe+eIy6TmCsZu0mu7wa7hWrc,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
1352A661XPvAibaEXe+eIy6TmCsZu+qEHG5QxOAG,1997.0,1.0,-1.0,11.0,KHTN2016,CNTN,0,THPT,Khu vực 2,3,ENG01
8851E69BXPvAibaEXe+eIy6TmCsZuzduBAHXYnYj,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
E679EB47XPvAibaEXe+eIy6TmCsZuwhDZyQzJ/il,1997.0,1.0,-1.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
2B9BB841XPvAibaEXe/7YVAxOsMwOsVlHgtpSb0I,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
EBC55C2BXPvAibaEXe/7YVAxOsMwOk0EasYVdFSG,1996.0,1.0,-2.0,11.0,KTMT2016,CQUI,0,Chuyên,Khu vực 2 NT,3,ENGBT
67A51DC3XPvAibaEXe/7YVAxOsMwOtCFvKInEQ0e,1998.0,1.0,0.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 1,3,ENGBT
F9F00F9BXPvAibaEXe/7YVAxOsMwOkCUOyzVAIdc,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
F934AFD4XPvAibaEXe/7YVAxOsMwOmFzQTm7dOKr,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
E5DDE060XPvAibaEXe/7YVAxOsMwOgzKuxoPANYq,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
A3B55E76XPvAibaEXe/7YVAxOsMwOlSm2jrgLdri,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 3,3,ENG01
0E3CC85BXPvAibaEXe/7YVAxOsMwOq19C4IZbCNV,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THCS&THPT,Khu vực 2,3,ENG01
EE124006XPvAibaEXe+x/3KKGWxYH5eE8fYkddOq,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENGBT
FA26D15DXPvAibaEXe+x/3KKGWxYH5f+BLhTctEV,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENG02
92D79C05XPvAibaEXe+x/3KKGWxYH9g/4fJgJYs6,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,4,ENG02
FE6A40FDXPvAibaEXe+x/3KKGWxYH7Njftr2o+Ld,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2,3,ENG01
7458C226XPvAibaEXe8E8MfopOpLfj+4Foe6Fn9M,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,Chuyên,Khu vực 2,4,ENG01
B3BB25C7XPvAibaEXe8E8MfopOpLfow3YpFUxKb9,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
5ABD2AEBXPvAibaEXe8E8MfopOpLfpzgaVQKHwFD,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
DB711988XPvAibaEXe8E8MfopOpLfuvKyaJThdNU,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
ACC6BE03XPvAibaEXe/7jEMhYBA6GZiEn3v4da33,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
075CAE0AXPvAibaEXe/7jEMhYBA6GRpJvL6kzgyG,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
E32F85C4XPvAibaEXe8OoiZ7Qg2eTzHFJYtJfMmx,1997.0,1.0,-1.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
E4A8F3C3XPvAibaEXe8OoiZ7Qg2eT+Jy+LbBom1V,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
751C5CD8XPvAibaEXe8OoiZ7Qg2eT/MgIge5XLta,1995.0,1.0,-3.0,11.0,CTTT2016,CTTT,0,THPT,Khu vực 2 NT,4,ENGBT
BD12868AXPvAibaEXe8OoiZ7Qg2eT6mcyIhrsW0w,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
BE04727AXPvAibaEXe8OoiZ7Qg2eT9tClu4Cs32M,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,Chuyên,Khu vực 2 NT,3,ENGBT
12C6CEBDXPvAibaEXe8HWu5TvPOfaHJ8WggqhfpV,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
41879EDBXPvAibaEXe8HWu5TvPOfaMIlvMjXTKxE,1997.0,1.0,-1.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 3,3,ENG02
D20DDE4FXPvAibaEXe8HWu5TvPOfaN9KOnh24+IZ,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
7D6A1FB2XPvAibaEXe904Wq1lYkfi03olJ53wEUL,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
260F89E3XPvAibaEXe904Wq1lYkfi3SWlgS7D671,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
DB9FA965XPvAibaEXe904Wq1lYkfi1x2F3Ukc2Og,1998.0,0.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
E0C52A16XPvAibaEXe904Wq1lYkfi/ntiwVmPGZr,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,Chuyên,Khu vực 1,3,ENGBT
F8B7B670XPvAibaEXe904Wq1lYkfi68eFFkYR0b3,1996.0,1.0,-2.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,4,ENG01
D2EB1EB6XPvAibaEXe9Hp2TeoSwCGebpfL629QyM,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
902895CAXPvAibaEXe9Hp2TeoSwCGUc05NETHA4y,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
CBB55F72XPvAibaEXe9Hp2TeoSwCGX/R/AU50aAF,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2,3,ENGBT
5A8FC80AXPvAibaEXe9Hp2TeoSwCGQOTvUMD2sdV,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT,4,ENG01
2909662DXPvAibaEXe9Hp2TeoSwCGQEHbesrw4xg,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2 NT,4,ENGBT
40D2257DXPvAibaEXe9Hp2TeoSwCGTMp/uHWnnOo,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT,3,ENGBT
09DAA20BXPvAibaEXe8cJKtXZaLmvUsH6H9yaOrj,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
47C7F0D8XPvAibaEXe8cJKtXZaLmvW7+9X9I1l88,1998.0,0.0,0.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
2E7766A4XPvAibaEXe8cJKtXZaLmvYU52KoCieBc,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
C805294BXPvAibaEXe8cJKtXZaLmvXmkH+PgfnFb,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
6D8F53BDXPvAibaEXe8cJKtXZaLmvZGbeRUvU9Ym,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2,4,ENGBT
ED940AE5XPvAibaEXe/sW+jVmHnQGmpcv505KQtY,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
CD72A72AXPvAibaEXe/sW+jVmHnQGj7x1GbslKUs,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
D40A5224XPvAibaEXe/sW+jVmHnQGrpyj9mM/5XW,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
B4BB0B80XPvAibaEXe/sW+jVmHnQGrbV2aMBZxbl,1998.0,1.0,0.0,11.0,KHMT2016.2,CQUI,0,Chuyên,Khu vực 2,3,ENG01
464EEB66XPvAibaEXe93t/fGOsRpnwKvZu4uHWUr,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
82778F75XPvAibaEXe93t/fGOsRpn50R4yA7HNuJ,1997.0,1.0,-1.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2,4,ENG01
E7959B13XPvAibaEXe93t/fGOsRpn/6DkGbVhKDL,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
37E8854FXPvAibaEXe93t/fGOsRpn2pIVjPlvyxA,1998.0,1.0,0.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 3,3,ENG01
51E5CFABXPvAibaEXe93t/fGOsRpnwBCueYR01nj,1998.0,1.0,0.0,11.0,MMTT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
5E19BA75XPvAibaEXe96K1aB3B4cKVe+zJZEtwvN,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
A087B8CAXPvAibaEXe96K1aB3B4cKeZgLP7Zudq0,1998.0,0.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
E19EA87BXPvAibaEXe96K1aB3B4cKbTxUAPWhMbc,1998.0,0.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
E16A784CXPvAibaEXe96K1aB3B4cKVqj15x8J3Fa,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2,3,ENGBT
387E2EFEXPvAibaEXe96K1aB3B4cKSj8mKKciukN,1997.0,1.0,-1.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 2,3,ENGBT
EA5C3600XPvAibaEXe96K1aB3B4cKYcgi+qudqoq,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
E747458DXPvAibaEXe96K1aB3B4cKQggKDkChiCr,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
461F878CXPvAibaEXe88G96lR9q/HUNPesL1mp7V,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
A111A056XPvAibaEXe88G96lR9q/HbP6O5OR4CqK,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
E0087006XPvAibaEXe88G96lR9q/HYHUut2bbQj2,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,Chuyên,Khu vực 2,4,ENG01
CF820E88XPvAibaEXe88G96lR9q/HWQHdno6Q1dE,1997.0,1.0,-1.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 1,3,ENGBT
D8E39F03XPvAibaEXe88G96lR9q/HT9qRGKkXQxj,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
BFF8DA2FXPvAibaEXe+5AEinM7he3tn9b67IIJsR,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2 NT,4,ENG01
50710A05XPvAibaEXe+5AEinM7he3i2ud45eDBqh,1998.0,0.0,0.0,11.0,KHTN2016,CNTN,0,THPT,Khu vực 2,3,ENG01
953C6A47XPvAibaEXe+5AEinM7he3uLH7djD90X8,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2,4,ENGBT
FDDBDF52XPvAibaEXe+5AEinM7he3h6+DAfh7V1R,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
D9987866XPvAibaEXe+5AEinM7he3nNXvaIkjIqo,1997.0,1.0,-1.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
6BDC0FB3XPvAibaEXe+5AEinM7he3oT9mkidxPDW,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENGBT
17A0F940XPvAibaEXe/aqMXYDLKHR9beDI60v7bk,1988.0,1.0,-10.0,11.0,CTTT2016,CTTT,0,THPT,Khu vực 2,4,ENGBT
CDCA87CCXPvAibaEXe/aqMXYDLKHR8zD3iWyQSsf,1998.0,0.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2 NT,4,ENGBT
B2DF2BCBXPvAibaEXe/aqMXYDLKHR/Rvx1vG7yZ8,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 2 NT,4,ENG01
B280054FXPvAibaEXe/aqMXYDLKHRx1deGanA5Uq,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
9E8D0CE7XPvAibaEXe+/1KYXP+fweLFNn49rOazP,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,Chuyên,Khu vực 3,4,ENG01
0D56970AXPvAibaEXe+/1KYXP+fweMd3DfpYccg/,1998.0,0.0,0.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 3,3,ENG01
27A62100XPvAibaEXe+/1KYXP+fweJyZsRuyxmIg,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2,3,ENGBT
8474C347XPvAibaEXe+/1KYXP+fweAETvLS68nEF,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
33C734B5XPvAibaEXe+/1KYXP+fweL6Sr/n8oIDs,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 1,3,ENG01
8A06BCB7XPvAibaEXe+/1KYXP+fweAfbWbYeLDhP,1997.0,1.0,-1.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 2,3,ENG01
789C02AAXPvAibaEXe+/1KYXP+fweK/y54Tvf704,1997.0,1.0,-1.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
408D0B61XPvAibaEXe/04IiIK7okBdYvNYs5MiFQ,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
F4F90434XPvAibaEXe/04IiIK7okBT/n8bF22cJ4,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,Chuyên,Khu vực 2,3,ENGBT
7BAE4D59XPvAibaEXe/04IiIK7okBc/e3nqwl6Yl,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
8F1119D3XPvAibaEXe/04IiIK7okBcgSWyeIFMKt,1998.0,1.0,0.0,11.0,KHMT2016,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
5D84A808XPvAibaEXe/04IiIK7okBVnVDuMtAOeG,1998.0,1.0,0.0,11.0,KHTN2016,CNTN,0,THCS&THPT,Khu vực 2 NT,3,ENG01
E5B72901XPvAibaEXe/04IiIK7okBVX65TwUbxSQ,1998.0,1.0,0.0,11.0,PMCL2016.3,CLC,0,THPT,Khu vực 2,4,ENG01
7605FEEEXPvAibaEXe8808q51BnmQv/RCCjB4N+s,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 3,3,ENG02
DD6DDD9BXPvAibaEXe8808q51BnmQgYlXLk+6Sms,1998.0,1.0,0.0,11.0,MMTT2016,CQUI,0,THPT,Khu vực 1,3,ENG01
CB6377B6XPvAibaEXe8808q51BnmQgFXOVlspk8F,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
5120F34CXPvAibaEXe8808q51BnmQvUpJUeNEyRf,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
962B588DXPvAibaEXe8808q51BnmQv7uo+CT+yEW,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 3,3,ENG01
DA75FFFEXPvAibaEXe8808q51BnmQhHT8REwWMQJ,1998.0,1.0,0.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 2,3,ENGBT
FC15E78FXPvAibaEXe92C4qaj9kvH9Xq+b0SgU4o,1998.0,1.0,0.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
1E458D16XPvAibaEXe92C4qaj9kvH6/S4CNEqhXl,1998.0,1.0,0.0,11.0,MMTT2016,CQUI,0,THPT,Khu vực 1,3,ENG01
F400B823XPvAibaEXe92C4qaj9kvH9/66t3hNsRx,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
ED123CFBXPvAibaEXe92C4qaj9kvHzy3ywisWZ4a,1997.0,1.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
13D900A2XPvAibaEXe97wmuqTYuV7bJOKimbzKxM,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENGBT
AD5DDB61XPvAibaEXe97wmuqTYuV7bFPojsU1F+x,1998.0,0.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
19E0EE8FXPvAibaEXe97wmuqTYuV7djoRDmkvxKL,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 1,4,ENG01
F0F88E7EXPvAibaEXe97wmuqTYuV7VibsH6BPRXy,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 1,3,ENGBT
D77BA55CXPvAibaEXe97wmuqTYuV7ZzXGRkYG5x/,1997.0,1.0,-1.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
BDF344E0XPvAibaEXe97wmuqTYuV7e+YykH8Z97h,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
26504393XPvAibaEXe97wmuqTYuV7f7oqpX5KaC9,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 1,4,ENG01
31656E5EXPvAibaEXe9N+b7C2VGPszP5c8rfamtp,1997.0,1.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENGBT
6E786189XPvAibaEXe9N+b7C2VGPs5hGjFNP9OPe,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
09EA1246XPvAibaEXe9N+b7C2VGPs7VmmYGpq5S4,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 1,4,ENG01
485EE734XPvAibaEXe9N+b7C2VGPs9muAnhMpjeF,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
72059684XPvAibaEXe9N+b7C2VGPs6rwW5yBcs12,1997.0,1.0,-1.0,11.0,KHMT2016.2,CQUI,0,THPT,Khu vực 3,3,ENG01
8FBA4DD6XPvAibaEXe9N+b7C2VGPs5fUPTuQNCtW,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 3,4,ENG01
88F1979DXPvAibaEXe9uaaZ/YedHVLTpfQz3FFXG,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
3A14E413XPvAibaEXe9uaaZ/YedHVADddd6jtCYd,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
8A73C0A4XPvAibaEXe9uaaZ/YedHVG4ke7HP5CVh,1997.0,1.0,-1.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 1,3,ENGBT
F74A82C2XPvAibaEXe9uaaZ/YedHVBLMZpuFaBWv,1998.0,1.0,0.0,11.0,PMCL2016.3,CLC,0,THPT,Khu vực 1,4,ENG01
9FBBFEDAXPvAibaEXe9uaaZ/YedHVDIAvlASfm3N,1998.0,1.0,0.0,11.0,KTMT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
D3C8FCBFXPvAibaEXe9uaaZ/YedHVE2vFI3CwdF0,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
E1E49AA0XPvAibaEXe9uaaZ/YedHVPiewa5uM8QS,1998.0,1.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2,4,ENGBT
63850E1DXPvAibaEXe9uaaZ/YedHVMbH1bo0wP7i,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,Chuyên,Khu vực 1,3,ENG01
59F24D89XPvAibaEXe+MMervxP1vAFgzvQQfMwEA,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
AF786B20XPvAibaEXe+MMervxP1vAEwg60BSZIR9,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
D6F5BEF7XPvAibaEXe+MMervxP1vAHvM1MwhSFCY,1998.0,0.0,0.0,11.0,MMTT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
4AE33901XPvAibaEXe+MMervxP1vAMmMVyNeUejT,1998.0,0.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
A5C691C3XPvAibaEXe+MMervxP1vAHa9ZKGghhV0,1995.0,1.0,-3.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
07B199C7XPvAibaEXe8NowY/Kl2AXhRCYVw9Upq0,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,1,THPT,Khu vực 2,1,ENG01
A4E61A32XPvAibaEXe8NowY/Kl2AXiRiRmwnPwqa,1999.0,1.0,0.0,12.0,ATTN2017,KSTN,1,THPT,Khu vực 3,1,ENG02
FB534ECAXPvAibaEXe+1RDiCvTMY2QUaH9lUZ24V,1999.0,1.0,0.0,12.0,ATTT2017,CQUI,1,THPT,Khu vực 2,1,ENG02
64C53134XPvAibaEXe+1RDiCvTMY2bz25gXbqec/,1999.0,1.0,0.0,12.0,KHMT2017,CQUI,1,THPT,Khu vực 2,1,ENG01
E427EAFFXPvAibaEXe9Qn7CFN++B78dMKuGcwwpH,1999.0,1.0,0.0,12.0,PMCL2017.1,CLC,1,THPT,Khu vực 2,1,ENG01
D6E9FF8EXPvAibaEXe9Qn7CFN++B7x9ny4GZ2680,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 2,5,ENG01
FA6623BFXPvAibaEXe92lBM7BLetlUyvhcx59Meh,1999.0,1.0,0.0,12.0,ATTT2017,CQUI,5,THPT,Khu vực 2,5,ENG02
43E5C9A1XPvAibaEXe92lBM7BLetlaBVjnpdB7Ic,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 2,5,ENG02
6907A97DXPvAibaEXe8oz3/loyZiHH5Lb1U/Xzy6,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 3,5,ENG01
0ACCE1C5XPvAibaEXe8oz3/loyZiHLWx0e1WRRc8,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 3,5,ENG01
8655E245XPvAibaEXe8oz3/loyZiHGmyHAk2SJ56,1999.0,1.0,0.0,12.0,ATTN2017,KSTN,5,THPT,Khu vực 2,5,ENG01
4BBCDBCAXPvAibaEXe8oz3/loyZiHBwVzIojblUW,1999.0,0.0,0.0,12.0,HTTT2017,CQUI,5,THPT,Khu vực 2,5,ENG01
CB996D61XPvAibaEXe8cLtQUjJWX3XkVoRUnBewq,1999.0,1.0,0.0,12.0,KTMT2017,CQUI,5,THPT,Khu vực 2,5,ENG01
FAEC2FDBXPvAibaEXe8cLtQUjJWX3Zu9684JafuY,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 2 NT,5,ENG01
1026D50DXPvAibaEXe9Uiu/58J7ST53WIBWZ1jYE,1999.0,1.0,0.0,12.0,KHMT2017,CQUI,5,THPT,Khu vực 2,5,ENG01
5C86411BXPvAibaEXe9Uiu/58J7STwRHB1EeXVYr,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 2,5,ENGBT
74580C3DXPvAibaEXe9D0puFBsAtkg52uKWiBMy7,1999.0,1.0,0.0,12.0,MMTT2017,CQUI,5,THPT,Khu vực 2,5,ENG01
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,1999.0,1.0,0.0,12.0,ATTN2017,KSTN,5,THPT,Khu vực 2,5,ENG01
992EFB36XPvAibaEXe9D0puFBsAtknHp4cfiVHfP,1999.0,1.0,0.0,12.0,CNTT2017,CQUI,5,THPT,Khu vực 2,5,ENG01
A6FA945EXPvAibaEXe9D0puFBsAtkj9yxH/4mWCS,1999.0,1.0,0.0,12.0,CNTT2017,CQUI,5,THPT,Khu vực 3,5,ENG02
50AC530AXPvAibaEXe/EiyqMUCp4HXDatLYe0XF9,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 2,5,ENG01
1832DF2FXPvAibaEXe/EiyqMUCp4HSG4W3PTaxxG,1999.0,0.0,0.0,12.0,TMĐT2017,CQUI,5,THPT,Khu vực 2,5,ENG02
229C8560XPvAibaEXe/EiyqMUCp4HeA6kU9/mDYZ,1999.0,1.0,0.0,12.0,PMCL2017.1,CLC,5,THPT,Khu vực 2,5,ENG01
CC225980XPvAibaEXe/EiyqMUCp4HTOKqhj1lYrv,1999.0,1.0,0.0,12.0,CNTT2017,CQUI,5,THPT,Khu vực 3,5,ENG02
454A639FXPvAibaEXe/EiyqMUCp4HVkAto1F3EsR,1999.0,1.0,0.0,12.0,KTPM2017,CQUI,5,THPT,Khu vực 2,5,ENG01
