id,mssv,listening,reading,total,mamh,ghichu
74,32425155XPvAibaEXe/jd8ghaf1GTDJ2RkglGilP,,,28.0,,
75,E19EA87BXPvAibaEXe96K1aB3B4cKbTxUAPWhMbc,,,29.0,,
76,BD12868AXPvAibaEXe8OoiZ7Qg2eT6mcyIhrsW0w,,,29.0,,
77,8F1119D3XPvAibaEXe/04IiIK7okBcgSWyeIFMKt,,,29.0,,
78,BFF8DA2FXPvAibaEXe+5AEinM7he3tn9b67IIJsR,,,29.0,,
79,2CFFC4A4XPvAibaEXe/UTqPTjBxFVmaKYeKYiNBw,,,29.0,,
80,A5C691C3XPvAibaEXe+MMervxP1vAHa9ZKGghhV0,,,30.0,,
81,408D0B61XPvAibaEXe/04IiIK7okBdYvNYs5MiFQ,,,30.0,,
82,6DE3DA07XPvAibaEXe+SI2uhC5CMEYmTe/FcwE7t,,,30.0,,
83,902895CAXPvAibaEXe9Hp2TeoSwCGUc05NETHA4y,,,30.0,,
84,0D56970AXPvAibaEXe+/1KYXP+fweMd3DfpYccg/,,,30.0,,
85,C6142704XPvAibaEXe88G96lR9q/HVMhBqOaOjJX,,,30.0,,
86,232946CFXPvAibaEXe/JhqMYLzzrR02+yvZ+pT+i,,,30.0,,
87,59884D21XPvAibaEXe8NrxrmA741r7Pe5nXtcI17,,,31.0,,
88,5E19BA75XPvAibaEXe96K1aB3B4cKVe+zJZEtwvN,,,31.0,,
89,6E786189XPvAibaEXe9N+b7C2VGPs5hGjFNP9OPe,,,31.0,,
90,33C734B5XPvAibaEXe+/1KYXP+fweL6Sr/n8oIDs,,,31.0,,
91,F400B823XPvAibaEXe92C4qaj9kvH9/66t3hNsRx,,,31.0,,
92,E32F85C4XPvAibaEXe8OoiZ7Qg2eTzHFJYtJfMmx,,,31.0,,
93,F934AFD4XPvAibaEXe/7YVAxOsMwOmFzQTm7dOKr,,,31.0,,
94,485EE734XPvAibaEXe9N+b7C2VGPs9muAnhMpjeF,,,32.0,,
95,ED123CFBXPvAibaEXe92C4qaj9kvHzy3ywisWZ4a,,,32.0,,
96,98885261XPvAibaEXe+fEAEfw3o+KtD8p1BCYU+u,,,32.0,,
97,1352A661XPvAibaEXe+eIy6TmCsZu+qEHG5QxOAG,,,32.0,,
98,7D6A1FB2XPvAibaEXe904Wq1lYkfi03olJ53wEUL,,,32.0,,
99,5ABD2AEBXPvAibaEXe8E8MfopOpLfpzgaVQKHwFD,,,33.0,,
100,72059684XPvAibaEXe9N+b7C2VGPs6rwW5yBcs12,,,33.0,,
101,C7C98961XPvAibaEXe/UTqPTjBxFVtKmLCQure30,,,33.0,,
102,5120F34CXPvAibaEXe8808q51BnmQvUpJUeNEyRf,,,33.0,,
103,FE6A40FDXPvAibaEXe+x/3KKGWxYH7Njftr2o+Ld,,,34.0,,
104,26504393XPvAibaEXe97wmuqTYuV7f7oqpX5KaC9,,,34.0,,
105,B2DF2BCBXPvAibaEXe/aqMXYDLKHR/Rvx1vG7yZ8,,,34.0,,
106,51E5CFABXPvAibaEXe93t/fGOsRpnwBCueYR01nj,,,34.0,,
107,F473C1ABXPvAibaEXe/jd8ghaf1GTNdb+cfjD9JK,,,35.0,,
108,EA5C3600XPvAibaEXe96K1aB3B4cKYcgi+qudqoq,,,35.0,,
109,09EA1246XPvAibaEXe9N+b7C2VGPs7VmmYGpq5S4,,,35.0,,
110,271B286AXPvAibaEXe9CFhTkHod3yfY0OnaNvlXt,,,35.0,,
111,A087B8CAXPvAibaEXe96K1aB3B4cKeZgLP7Zudq0,,,35.0,,
112,2E7766A4XPvAibaEXe8cJKtXZaLmvYU52KoCieBc,,,36.0,,
113,E4A8F3C3XPvAibaEXe8OoiZ7Qg2eT+Jy+LbBom1V,,,36.0,,
114,843B6F23XPvAibaEXe93t/fGOsRpn9x0GlU2wsFG,,,37.0,,
115,F74A82C2XPvAibaEXe9uaaZ/YedHVBLMZpuFaBWv,,,37.0,,
116,9FBBFEDAXPvAibaEXe9uaaZ/YedHVDIAvlASfm3N,,,37.0,,
117,DB711988XPvAibaEXe8E8MfopOpLfuvKyaJThdNU,,,37.0,,
118,5A8FC80AXPvAibaEXe9Hp2TeoSwCGQOTvUMD2sdV,,,37.0,,
119,075CAE0AXPvAibaEXe/7jEMhYBA6GRpJvL6kzgyG,,,37.0,,
120,DD6DDD9BXPvAibaEXe8808q51BnmQgYlXLk+6Sms,,,38.0,,
121,461F878CXPvAibaEXe88G96lR9q/HUNPesL1mp7V,,,38.0,,
