id,mssv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7605,BAC0D992XPvAibaEXe/dMvqGUzyBHM+Z5FUq42cm,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7606,A5CFC3EAXPvAibaEXe8v1/72rbobbQBhkDh9w0n8,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7607,FDCA1F81XPvAibaEXe+xw+0gOjOR0FlMrNx/+TZG,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7608,C1F37059XPvAibaEXe9cYfl6D6BtPG7HzaS511bz,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7609,B2B5D9C3XPvAibaEXe/Uev7j/8EzmXD71ZVL116W,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7610,C5D19041XPvAibaEXe+NJiMjcH3vhGZBbbWixTpF,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7611,BFAB0BC0XPvAibaEXe+PAOVcd+LnOX59zGGn3cV1,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7612,DCA94B13XPvAibaEXe9RV3kg6cpLDHjSSrCU5mso,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7613,55E029BAXPvAibaEXe8SXrohzbXmS8MZUqnd4qx0,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7614,B721CE15XPvAibaEXe/WuJYGMdaNyLnzWcA+ZeDw,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7615,18BC3150XPvAibaEXe+RaLErOlzghWzZvcuDuYjh,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7616,E19C669FXPvAibaEXe/lyY7+7E9oi1Z9M6xWsk94,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7617,3788C7A4XPvAibaEXe/81GDNmtxKsfT2ovFuIAkG,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7640,3E756495XPvAibaEXe9P07hcrvmhCa0nLHGm6qSN,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7641,80790C23XPvAibaEXe83V/kFvw2bBdHxAZUKwYd8,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7642,3E479342XPvAibaEXe+kwIr/VXjl01D1BeeuKZAN,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7643,F498E5FEXPvAibaEXe9JDlHA4z2GHBZXhsR8PR1r,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7644,B2816B7BXPvAibaEXe/YKN5ysyYL7MS3vlfPnRU+,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7645,313A0C3EXPvAibaEXe9FiaSoce50DK2qcrsEDi/O,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7646,79F1E4DFXPvAibaEXe9MLbI3cCq2BHgHnnweUs+t,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7647,A31BDC0AXPvAibaEXe/Dy4K4yiQpOP0/iCEjMzqM,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7648,CD4BB846XPvAibaEXe/BqA0y8R3TRQX6Z3Fs2mNg,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
